Country,Population (2024/2025 Est.),Estimate of civilian firearms per 100 persons,Estimate of firearms in civilian possession,Computation method,Registered firearms,Unregistered firearms,Gun Death Rate,Deaths by firearm,Suicide Rate by Firearm,Unintentional Deaths by Firearms
Afghanistan,"43,844,000.00",12.5,"4,270,000.00",2,"1,073,743.00","392,273,257.00",1.32,434,0.26,0.23 per 100k
Albania,"2,363,314.00",12,"350,000.00",2,"65,747.00","284,253.00",1.39,40,0.97,0.13 per 100k
Algeria,"47,400,000.00",2.1,"877,000.00",2,"200,000.00","677,000.00",0.31,135,0.17,0.12 per 100k
American Samoa,"49,710.00",0.7,400.00,2,250.00,150.00,,,,
Andorra,"88,881.00",14.1,"10,000.00",3,"7,599.00","2,401.00",0.08,0,0.6,0.02 per 100k
Angola,"36,604,681.00",11.2,"2,982,000.00",2,"1,035,360.00","1,946,640.00",0.61,161,0.37,0.48 per 100k
Antigua and Barbuda,"103,603.00",5.4,"5,000.00",2,"1,449.00","3,551.00",1.9,2,0.07,4.16 per 100k
Argentina,"46,387,098.00",7.4,"3,256,000.00",2,"1,562,332.00","1,693,668.00",3.64,1709,2.67,0.88 per 100k
Armenia,"3,076,200.00",6.1,"186,000.00",3,"45,822.00","140,178.00",0.64,21,0.49,0.5 per 100k
Aruba,"108,880.00",2.6,"3,000.00",3,N/A,N/A,,,,
Australia,"27,536,874.00",14.5,"3,573,000.00",2,"3,158,795.00","414,205.00",0.18,45,0.75,0.04 per 100k
Austria,"9,216,459.00",30,"2,577,000.00",1,"837,000.00","1,740,000.00",0.13,13,2.47,0.04 per 100k
Azerbaijan,"10,253,647.00",3.6,"362,000.00",2,N/A,N/A,0.27,29,0.09,0.16 per 100k
Bahamas,"398,165.00",18.8,"74,000.00",2,"17,110.00","56,890.00",,,,
Bahrain,"1,594,654.00",12.8,"181,000.00",3,N/A,N/A,0.36,6,0.1,0.12 per 100k
Bangladesh,"169,828,911.00",0.4,"659,000.00",2,"185,000.00","474,000.00",0.04,67,0.02,0.01 per 100k
Barbados,"267,800.00",3.5,"10,000.00",3,"3,000.00","7,000.00",4.3,12,0.24,0.73 per 100k
Belarus,"9,109,280.00",6.1,"581,000.00",3,"130,000.00","451,000.00",0.43,45,0.56,0.1 per 100k
Belgium,"11,917,402.00",12.7,"1,451,000.00",1,"426,939.00","1,024,061.00",0.34,41,1.58,0.06 per 100k
Belize,"417,634.00",10,"37,000.00",2,"10,755.00","26,245.00",15.04,67,0.73,3.03 per 100k
Benin,"13,224,860.00",0.3,"33,000.00",2,N/A,N/A,2.57,275,0.44,0.74 per 100k
Bermuda,"64,055.00",4.6,"3,000.00",3,N/A,N/A,1.5,1,0.05,0.16 per 100k
Bhutan,"784,043.00",0.8,"6,000.00",3,"4,309.00","1,691.00",0.1,1,0.17,0.25 per 100k
Bolivia,"11,365,333.00",2,"218,000.00",3,"10,982.00","207,018.00",2.56,306,0.39,0.83 per 100k
Bosnia and Herz.,"3,422,000.00",31.2,"1,185,000.00",2,"353,000.00","832,000.00",0.26,9,0.78,0.07 per 100k
Botswana,"2,359,609.00",4.1,"97,000.00",2,"32,901.00","64,099.00",3.48,88,0.88,0.5 per 100k
Brazil,"213,421,037.00",8.3,"17,510,000.00",2,"8,080,295.00","9,429,705.00",20.8,47510,0.58,0.31 per 100k
British Virgin Islands,"39,471.00",0.8,300.00,2,48.00,252.00,,,,
Brunei,"455,500.00",1.4,"6,000.00",2,N/A,N/A,0.07,0,0.05,0.01 per 100k
Bulgaria,"6,437,360.00",8.4,"590,000.00",1,"345,733.00","244,267.00",0.55,40,0.93,0.23 per 100k
Burkina Faso,"24,070,553.00",0.9,"175,000.00",2,N/A,N/A,3.91,682,0.53,0.84 per 100k
Burundi,"12,332,788.00",2,"238,000.00",2,N/A,N/A,0.28,31,0.5,1.1 per 100k
Cambodia,"17,577,760.00",4.5,"717,000.00",2,N/A,N/A,0.95,163,0.09,0.13 per 100k
Cameroon,"29,442,327.00",2.1,"510,000.00",2,N/A,N/A,1.03,288,0.52,0.51 per 100k
Canada,"41,651,653.00",34.7,"12,708,000.00",2,"2,081,442.00","10,626,558.00",0.5,170,1.88,0.05 per 100k
Cape Verde,"491,233.00",5.7,"31,000.00",2,N/A,N/A,,,,
Cayman Islands,"84,738.00",9.2,"6,000.00",3,"1,556.00","4,444.00",,,,
Central African Republic,"6,470,307.00",1.8,"94,000.00",2,N/A,N/A,1.27,59,0.96,1.45 per 100k
Chad,"19,340,757.00",1,"151,000.00",2,N/A,N/A,2.99,380,0.49,0.99 per 100k
Channel Islands,"177,507.00",14,"23,000.00",2,"14,550.00","8,450.00",,,,
Chile,"20,206,953.00",12.1,"2,220,000.00",2,"763,182.00","1,456,818.00",1.82,345,0.66,0.21 per 100k
China,"1,408,280,000.00",3.6,"49,735,000.00",2,"680,000.00","49,055,000.00",0.02,334,0.03,0.02 per 100k
Christmas Island,"1,692.00",0,–,2,N/A,N/A,,,,
Colombia,"53,057,212.00",10.1,"4,971,000.00",2,"706,210.00","4,264,790.00",24.8,12596,1,0.2 per 100k
Comoros,"919,901.00",1.5,"12,000.00",2,N/A,N/A,3.16,21,0.37,0.83 per 100k
Congo,"6,142,180.00",2.4,"119,000.00",2,N/A,N/A,,,,
Costa Rica,"5,191,824.00",10,"493,000.00",2,"235,631.00","257,369.00",6.94,355,1.28,0.11 per 100k
Croatia,"3,866,233.00",13.7,"576,000.00",2,"390,000.00","186,000.00",0.34,16,1.87,0.08 per 100k
Cuba,"9,748,007.00",2.1,"234,000.00",2,"58,150.00","175,850.00",0.28,32,0.24,0.17 per 100k
Curaçao,"156,115.00",2.6,"4,000.00",3,N/A,N/A,,,,
Cyprus,"966,400.00",34,"285,000.00",2,"154,327.00","130,673.00",0.51,8,0.77,0.06 per 100k
Czech Republic,"10,882,341.00",12.5,"1,323,000.00",2,"806,895.00","516,105.00",0.15,17,1.32,0.09 per 100k
Denmark,"6,019,866.00",9.9,"567,000.00",1,"340,000.00","227,000.00",0.15,8,0.93,0.03 per 100k
Djibouti,"1,066,809.00",3.1,"28,000.00",2,N/A,N/A,3.39,38,0.39,0.69 per 100k
Dominica,"67,408.00",6.2,"5,000.00",3,N/A,N/A,3.53,2,0.16,0.47 per 100k
Dominican Republic,"10,771,504.00",7.4,"795,000.00",2,"333,426.00","461,574.00",11.28,1288,0.88,1.3 per 100k
Dem. Rep. Congo,"112,832,000.00",1.2,"946,000.00",2,216.00,"945,784.00",0.29,283,0.22,0.39 per 100k
Ecuador,"18,103,660.00",2.4,"402,000.00",2,"167,102.00","234,898.00",5.5,989,0.51,0.27 per 100k
Egypt,"107,271,260.00",4.1,"3,931,000.00",2,"250,000.00","3,681,000.00",0.38,367,0.18,0.27 per 100k
El Salvador,"6,029,976.00",12,"737,000.00",2,"344,587.00","392,413.00",35.5,2301,0.16,0.05 per 100k
England & Wales,"61,806,682.00",4.6,"2,731,000.00",1,"1,870,735.00","860,265.00",0.03,18,0.09,0.03 per 100k
Equatorial Guinea,"1,668,768.00",12.5,"112,000.00",2,N/A,N/A,,,,
Eritrea,"3,607,000.00",0.4,"23,000.00",2,N/A,N/A,4.11,241,0.65,1.04 per 100k
Estonia,"1,369,995.00",5,"65,000.00",1,"47,000.00","18,000.00",0.27,4,0.9,0.06 per 100k
Eswatini,"1,235,549.00",4.8,"64,000.00",3,"10,000.00","54,000.00",3.66,43,1.19,0.66 per 100k
Ethiopia,"111,652,998.00",0.4,"377,000.00",2,N/A,N/A,2.91,2293,0.32,1 per 100k
Falkland Islands,"3,662.00",62.1,"2,000.00",2,"1,705.00",295.00,,,,
Faroe Islands,"54,858.00",9.9,"5,000.00",3,N/A,N/A,,,,
Fiji,"900,869.00",0.5,"5,000.00",2,"1,538.00","3,462.00",0.16,1,0.05,0.05 per 100k
Finland,"5,655,715.00",32.4,"1,793,000.00",1,"1,542,396.00","250,604.00",0.21,12,2.66,0.03 per 100k
France,"68,736,000.00",19.6,"12,732,000.00",1,"4,501,235.00","8,230,765.00",0.32,222,2.64,0.19 per 100k
French Guiana,"292,400.00",19.6,"55,000.00",3,N/A,N/A,,,,
French Polynesia,"279,500.00",2.5,"7,000.00",2,N/A,N/A,,,,
Gabon,"2,469,296.00",3.4,"61,000.00",2,N/A,N/A,0.8,14,0.48,0.36 per 100k
Gambia,"2,422,712.00",6.5,"137,000.00",2,N/A,N/A,,,,
Georgia,"3,704,500.00",10.1,"402,000.00",2,"159,000.00","243,000.00",1.2,46,0.69,0.86 per 100k
Germany,"83,491,249.00",19.6,"15,822,000.00",1,"5,830,000.00","9,992,000.00",0.08,84,1.06,0.04 per 100k
Ghana,"33,742,380.00",8,"2,280,000.00",2,"1,236,128.00","1,043,872.00",0.73,229,0.3,0.49 per 100k
Gibraltar,"38,000.00",4.1,"1,000.00",1,N/A,N/A,,,,
Greece,"10,400,720.00",17.6,"1,920,000.00",1,"1,010,000.00","910,000.00",0.35,41,0.94,0.1 per 100k
Greenland,"56,542.00",22.3,"13,000.00",3,N/A,N/A,,,,
Grenada,"109,021.00",4.6,"5,000.00",3,N/A,N/A,0.66,1,0.04,1.39 per 100k
Guadeloupe,"380,400.00",8.5,"40,000.00",2,"5,500.00","34,500.00",,,,
Guam,"153,836.00",11.5,"20,000.00",3,N/A,N/A,0.58,1,1.49,0.08 per 100k
Guatemala,"18,079,810.00",12.1,"2,062,000.00",2,"520,792.00","1,541,208.00",28.23,5165,0.36,4.23 per 100k
Guinea,"14,363,931.00",1,"130,000.00",2,N/A,N/A,2.65,283,0.53,1.01 per 100k
Guinea-Bissau,"1,781,308.00",1.5,"29,000.00",2,N/A,N/A,3.43,55,0.75,0.96 per 100k
Guyana,"772,975.00",15.8,"122,000.00",2,"4,000.00","118,000.00",10.22,84,0.39,0.64 per 100k
Haiti,"11,867,032.00",2.6,"291,000.00",2,"20,379.00","270,621.00",9.79,1268,0.48,5.22 per 100k
Vatican,882.00,0,–,2,N/A,N/A,,,,
Honduras,"9,892,632.00",14.1,"1,171,000.00",2,"475,000.00","696,000.00",21.22,1978,0.35,0.8 per 100k
Hong Kong,"7,527,500.00",3.6,"265,000.00",3,N/A,N/A,,,,
Hungary,"9,539,502.00",10.5,"1,023,000.00",1,"211,300.00","811,700.00",0.07,7,0.48,0.03 per 100k
Iceland,"393,160.00",31.7,"106,000.00",2,"73,000.00","33,000.00",0.06,0,1.12,0.03 per 100k
India,"1,417,492,000.00",5.3,"71,101,000.00",2,"9,700,000.00","61,401,000.00",0.56,7977,0.44,0.04 per 100k
Indonesia,"284,438,782.00",0,"82,000.00",2,"41,102.00","40,898.00",0.06,153,0.06,0.05 per 100k
Iran,"85,961,000.00",7.3,"5,890,000.00",2,N/A,N/A,0.6,525,0.3,0.11 per 100k
Iraq,"46,118,793.00",19.6,"7,588,000.00",2,N/A,N/A,6.57,2649,1.02,3.2 per 100k
Ireland,"5,458,600.00",7.2,"342,000.00",2,"200,000.00","142,000.00",0.18,9,0.36,0.04 per 100k
Israel,"10,147,200.00",6.7,"557,000.00",2,"290,000.00","267,000.00",1.05,95,1.05,0.1 per 100k
Italy,"58,925,596.00",14.4,"8,609,000.00",1,"2,000,000.00","6,609,000.00",0.35,225,0.84,0.11 per 100k
Ivory Coast,"31,719,275.00",4.4,"1,049,000.00",3,"2,500.00","1,046,500.00",3.28,707,0.6,0.58 per 100k
Jamaica,"2,774,538.00",8.8,"246,000.00",2,"45,915.00","200,085.00",10.06,308,0.6,2.56 per 100k
Japan,"123,190,000.00",0.3,"377,000.00",2,"175,221.00","201,779.00",0.02,27,0.04,0.02 per 100k
Jordan,"11,734,000.00",18.7,"1,473,000.00",2,"120,000.00","1,353,000.00",1.51,177,0.08,0.08 per 100k
Kazakhstan,"20,464,077.00",2.8,"504,000.00",2,"284,000.00","220,000.00",0.56,107,0.26,0.29 per 100k
Kenya,"53,330,978.00",1.5,"750,000.00",2,"8,136.00","741,864.00",3.75,1533,0.39,0.74 per 100k
Kiribati,"120,740.00",0.8,900.00,2,N/A,N/A,,,,
Kosovo,"1,585,566.00",23.8,"436,000.00",2,"43,206.00","392,794.00",,,,
Kuwait,"4,881,254.00",16.7,"685,000.00",3,"39,000.00","646,000.00",0.28,15,0.06,0.01 per 100k
Kyrgyzstan,"7,281,800.00",2.8,"171,000.00",3,"29,237.00","141,763.00",0.4,26,0.11,0.19 per 100k
Laos,"7,647,000.00",3,"215,000.00",3,N/A,N/A,2.47,175,0.12,0.12 per 100k
Latvia,"1,827,800.00",10.5,"205,000.00",2,"70,000.00","135,000.00",0.42,8,0.81,0.09 per 100k
Lebanon,"5,490,000.00",31.9,"1,927,000.00",2,N/A,N/A,1.3,70,0.16,0.08 per 100k
Lesotho,"2,116,427.00",4.8,"105,000.00",3,N/A,N/A,5.3,116,2.03,1.11 per 100k
Liberia,"5,248,621.00",2.1,"97,000.00",2,N/A,N/A,0.84,40,0.44,0.67 per 100k
Libya,"7,459,000.00",13.3,"851,000.00",2,N/A,N/A,0.59,46,0.23,0.12 per 100k
Liechtenstein,"40,886.00",28.8,"11,000.00",3,N/A,N/A,,,,
Lithuania,"2,895,826.00",13.6,"385,000.00",2,"127,984.00","257,016.00",0.3,9,0.61,0.08 per 100k
Luxembourg,"681,973.00",18.9,"110,000.00",1,"86,000.00","24,000.00",0.21,1,1.01,0.05 per 100k
Macau,"686,600.00",3.6,"22,000.00",3,N/A,N/A,,,,
Madagascar,"31,727,042.00",0.7,"168,000.00",2,N/A,N/A,0.6,158,0.4,0.69 per 100k
Malawi,"20,734,262.00",0.3,"47,000.00",2,"12,500.00","34,500.00",0.62,109,0.52,0.62 per 100k
Malaysia,"34,281,100.00",0.7,"217,000.00",2,"142,038.00","74,962.00",0.35,122,0.13,0.05 per 100k
Maldives,"515,132.00",6.2,"23,000.00",2,N/A,N/A,0.15,1,0.1,0.04 per 100k
Mali,"22,395,489.00",1.1,"206,000.00",2,N/A,N/A,4.45,841,0.4,0.81 per 100k
Malta,"574,250.00",28.3,"119,000.00",2,"96,425.00","22,575.00",0.45,2,0.55,0.15 per 100k
Marshall Islands,"42,418.00",0.5,300.00,2,N/A,N/A,1.07,1,1.14,0.32 per 100k
Martinique,"355,500.00",8.5,"34,000.00",3,N/A,N/A,,,,
Mauritania,"4,927,532.00",2.8,"120,000.00",2,N/A,N/A,1.83,63,0.28,0.37 per 100k
Mauritius,"1,243,741.00",8.3,"106,000.00",2,N/A,N/A,0.17,3,0.09,0.02 per 100k
Mexico,"130,760,049.00",12.9,"16,809,000.00",2,"3,118,592.00","13,690,408.00",15.55,20509,0.73,0.56 per 100k
Micronesia,"105,564.00",0.7,700.00,2,N/A,N/A,0.55,1,0.28,0.06 per 100k
Moldova,"2,381,300.00",3,"121,000.00",2,"54,663.00","66,337.00",0.29,12,0.21,0.08 per 100k
Monaco,"38,423.00",19.6,"7,000.00",3,N/A,N/A,0.09,0,2.64,0.05 per 100k
Mongolia,"3,544,835.00",7.9,"242,000.00",3,"46,982.00","195,018.00",0.22,8,0.61,0.05 per 100k
Montenegro,"623,327.00",39.1,"245,000.00",3,"103,536.00","141,464.00",0.99,7,3.4,0.07 per 100k
Montserrat,"4,386.00",5.4,300.00,3,N/A,N/A,,,,
Morocco,"36,828,330.00",4.8,"1,690,000.00",2,N/A,N/A,0.46,171,0.27,1.09 per 100k
Mozambique,"34,090,466.00",4.5,"1,337,000.00",2,"7,000.00","1,330,000.00",2.36,595,0.62,0.72 per 100k
Myanmar,"51,316,756.00",1.6,"877,000.00",3,N/A,N/A,0.38,211,0.09,0.2 per 100k
Namibia,"3,022,401.00",15.4,"396,000.00",2,"200,010.00","195,990.00",3.37,81,0.61,0.42 per 100k
Nauru,"11,680.00",0,–,2,N/A,N/A,1.18,0,1.21,0.19 per 100k
Nepal,"29,911,840.00",1.5,"444,000.00",2,"34,315.00","409,685.00",0.1,30,0.43,0.1 per 100k
Netherlands,"18,130,662.00",2.6,"442,000.00",1,"205,347.00","236,653.00",0.23,38,0.26,0.02 per 100k
New Caledonia,"264,596.00",42.5,"115,000.00",2,"55,000.00","60,000.00",,,,
New Zealand,"5,334,200.00",26.3,"1,212,000.00",2,"1,200,000.00","12,000.00",0.15,7,0.87,0.06 per 100k
Nicaragua,"6,803,886.00",5.2,"323,000.00",2,"142,260.00","180,740.00",2.9,187,0.3,0.3 per 100k
Niger,"26,312,034.00",0.5,"117,000.00",2,"2,000.00","115,000.00",2.83,528,0.38,0.69 per 100k
Nigeria,"223,800,000.00",3.2,"6,154,000.00",2,N/A,N/A,1.81,3482,0.21,0.54 per 100k
North Korea,"25,950,000.00",0.3,"76,000.00",3,N/A,N/A,0.12,36,0.11,0.11 per 100k
North Macedonia,"1,822,612.00",29.8,"621,000.00",2,"169,687.00","451,313.00",,,,
Northern Cyprus,"476,214.00",17.4,"61,000.00",2,"49,142.00","11,858.00",,,,
Northern Mariana Islands,"47,329.00",2.6,"1,000.00",2,N/A,N/A,0.97,0,1.22,0.28 per 100k
Norway,"5,618,354.00",28.8,"1,537,000.00",2,"1,254,638.00","282,362.00",0.07,4,1.35,0.02 per 100k
Oman,"5,356,019.00",16.7,"792,000.00",3,N/A,N/A,0.03,1,0.04,0.01 per 100k
Pakistan,"241,499,431.00",22.3,"43,917,000.00",2,"6,000,000.00","37,917,000.00",0.93,1721,0.32,0.23 per 100k
Palau,"16,733.00",0.5,100.00,2,N/A,N/A,0.78,0,0.85,0.2 per 100k
Palestine,"5,483,450.00",1.1,"56,000.00",2,N/A,N/A,5.01,231,0.06,0.63 per 100k
Panama,"4,064,780.00",10.8,"436,000.00",2,"180,000.00","256,000.00",10.6,449,0.18,0.08 per 100k
Papua New Guinea,"10,185,363.00",1,"79,000.00",2,"27,043.00","51,957.00",1.16,97,0.18,0.27 per 100k
Paraguay,"6,109,644.00",16.7,"1,140,000.00",2,"392,000.00","748,000.00",7.11,513,1.24,0.37 per 100k
Peru,"34,350,244.00",2,"633,000.00",2,"365,845.00","267,155.00",1.44,511,0.12,0.96 per 100k
Philippines,"114,123,600.00",3.6,"3,776,000.00",2,"1,739,000.00","2,037,000.00",8.28,9028,0.1,0.12 per 100k
Poland,"37,376,000.00",2.5,"968,000.00",1,"380,000.00","588,000.00",0.08,35,0.15,0.04 per 100k
Portugal,"10,749,635.00",21.3,"2,186,000.00",1,"1,400,000.00","786,000.00",0.4,47,1.47,0.07 per 100k
Puerto Rico,"3,203,295.00",11.5,"422,000.00",2,N/A,N/A,19.72,639,0.85,0.42 per 100k
Puntland,"4,334,633.00",12.3,"338,250.00",2,N/A,N/A,,,,
Qatar,"3,173,024.00",16.7,"390,000.00",3,N/A,N/A,0.13,4,0.05,0.07 per 100k
Réunion,"885,700.00",19.6,"171,000.00",3,N/A,N/A,,,,
Romania,"19,036,031.00",2.6,"506,000.00",2,"210,000.00","296,000.00",0.06,13,0.06,0.04 per 100k
Russia,"146,028,325.00",12.3,"17,620,000.00",2,"6,600,000.00","11,020,000.00",0.72,1145,0.72,0.19 per 100k
Rwanda,"14,104,969.00",0.5,"66,000.00",2,N/A,N/A,1.06,134,0.38,0.54 per 100k
Saint Kitts and Nevis,"51,320.00",3.4,"2,000.00",3,N/A,N/A,10.99,7,0.07,3.3 per 100k
Saint Lucia,"184,100.00",3.4,"6,000.00",3,N/A,N/A,9.14,17,0.3,1.33 per 100k
Saint Martin,"31,496.00",8.5,"3,000.00",3,N/A,N/A,,,,
Saint Vincent and the Grenadines,"110,872.00",3.4,"4,000.00",3,"2,865.00","1,135.00",9.11,11,0.15,1.48 per 100k
Samoa,"205,557.00",10.1,"20,000.00",2,"4,000.00","16,000.00",,,,
San Marino,"34,154.00",14.4,"5,000.00",3,N/A,N/A,0.08,0,4.08,0.04 per 100k
São Tomé and Príncipe,"209,607.00",3.4,"7,000.00",3,N/A,N/A,,,,
Saudi Arabia,"35,300,280.00",16.7,"5,468,000.00",3,N/A,N/A,0.17,80,0.29,0.98 per 100k
Senegal,"18,593,258.00",2,"323,000.00",2,"7,053.00","315,947.00",0.44,63,0.56,0.61 per 100k
Serbia,"6,567,783.00",39.1,"2,719,000.00",2,"1,186,086.00","1,532,914.00",0.82,79,2.38,0.14 per 100k
Seychelles,"122,729.00",4.1,"4,000.00",2,N/A,N/A,1.69,2,0.16,0.04 per 100k
Sierra Leone,"9,077,691.00",0.5,"35,000.00",2,N/A,N/A,0.5,43,0.46,0.92 per 100k
Singapore,"6,110,200.00",0.3,"20,000.00",3,795.00,"19,205.00",0.01,1,0.02,0.01 per 100k
Sint Maarten,"41,349.00",4.2,"2,000.00",3,N/A,N/A,,,,
Slovakia,"5,413,191.00",6.5,"355,000.00",2,"280,000.00","75,000.00",0.25,15,0.92,0.19 per 100k
Slovenia,"2,130,986.00",15.6,"324,000.00",1,"127,094.00","196,906.00",0.18,4,1.52,0.02 per 100k
Solomon Islands,"750,325.00",0.2,"1,000.00",2,N/A,N/A,1.91,12,1.8,0.56 per 100k
Somalia ,"18,358,615.00",12.4,"903,000.00",2,N/A,N/A,3.55,283,0.38,0.77 per 100k
Somaliland,"6,200,000.00",11.9,"456,000.00",2,N/A,N/A,,,,
South Africa,"63,100,945.00",9.7,"5,351,000.00",2,"3,000,000.00","2,351,000.00",4.87,2937,0.71,0.5 per 100k
South Korea,"51,143,421.00",0.2,"79,000.00",2,"39,530.00","39,470.00",0.02,13,0.04,0.01 per 100k
South Sudan,"15,786,898.00",9.6,"1,255,000.00",2,N/A,N/A,2.78,202,0.31,0.69 per 100k
Spain,"49,442,844.00",7.5,"3,464,000.00",1,"2,683,542.00","780,458.00",0.13,70,0.45,0.06 per 100k
Sri Lanka,"21,763,170.00",2.4,"494,000.00",2,"35,000.00","459,000.00",1,223,0.08,0.32 per 100k
Sudan,"51,662,000.00",6.6,"2,768,000.00",2,"6,724.00","2,761,276.00",0.51,207,0.27,0.32 per 100k
Suriname,"616,500.00",15.9,"88,000.00",2,"30,000.00","58,000.00",2.89,17,1.09,0.75 per 100k
Sweden,"10,609,460.00",23.1,"2,296,000.00",1,"1,955,478.00","340,522.00",0.25,24,1.22,0.03 per 100k
Switzerland,"9,082,848.00",27.6,"2,332,000.00",2,"791,719.00","1,540,281.00",0.18,18,2.47,0.04 per 100k
Syria,"26,019,711.00",8.2,"1,547,000.00",2,N/A,N/A,1,146,0.12,0.12 per 100k
Taiwan,"23,317,031.00",0,"10,000.00",2,"5,000.00","5,000.00",0.11,30,0.07,0.02 per 100k
Tajikistan,"10,499,000.00",0.4,"37,000.00",2,"9,863.00","27,137.00",0.18,17,0.03,0.21 per 100k
Tanzania,"68,153,004.00",0.8,"427,000.00",2,"115,850.00","311,150.00",2.22,1159,0.36,0.57 per 100k
Thailand,"65,826,149.00",15.1,"10,342,000.00",2,"6,221,180.00","4,120,820.00",3.11,2351,0.55,0.1 per 100k
Timor-Leste,"1,391,221.00",0.3,"3,000.00",2,N/A,N/A,0.89,,,
Togo,"8,095,498.00",0.8,"58,000.00",2,"10,000.00","48,000.00",2.51,176,0.55,0.62 per 100k
Tonga,"100,179.00",8,"9,000.00",2,N/A,N/A,,,,
Trinidad and Tobago,"1,367,764.00",3.2,"43,000.00",2,"10,550.00","32,450.00",15.21,217,0.15,0.19 per 100k
Tunisia,"11,972,169.00",1.1,"123,000.00",3,"3,408.00","119,592.00",0.2,24,0.16,0.32 per 100k
Turkey,"85,664,944.00",16.5,"13,249,000.00",2,"2,500,000.00","10,749,000.00",1.05,967,0.72,0.84 per 100k
Turkmenistan,"7,057,841.00",0.4,"23,000.00",3,N/A,N/A,0.62,33,0.12,0.35 per 100k
Turks and Caicos Islands,"50,828.00",3.3,"1,000.00",2,300.00,700.00,,,,
Tuvalu,"10,643.00",1.2,100.00,2,50.00,50.00,,,,
U.S. Virgin Islands,"87,146.00",16.6,"18,000.00",2,N/A,N/A,19.29,20,2.37,0.68 per 100k
Uganda,"45,905,417.00",0.8,"331,000.00",2,"21,156.00","309,844.00",2.2,799,0.26,0.49 per 100k
Ukraine,"32,862,000.00",9.9,"4,396,000.00",2,"800,000.00","3,596,000.00",0.62,289,1.19,0.23 per 100k
United Arab Emirates,"11,294,243.00",16.7,"1,569,000.00",3,N/A,N/A,0.3,38,0.4,0.15 per 100k
United Kingdom,"69,281,482.00",4.7,"3,242,000.00",2,"2,210,735.00","1,031,265.00",0.06,25,0.17,0.03 per 100k
United States,"340,110,988.00",120.5,"393,347,000.00",1,"1,073,743.00","392,273,257 Est.",4.12,13001,7.12,0.21 per 100k
Uruguay,"3,499,451.00",34.7,"1,198,000.00",2,"605,313.00","592,687.00",4.02,140,4.74,2.33 per 100k
Uzbekistan,"38,069,116.00",0.4,"127,000.00",3,N/A,N/A,0.08,29,0.05,0.04 per 100k
Vanuatu,"321,409.00",3.9,"11,000.00",2,"4,700.00","6,300.00",0.17,0,1.04,0.37 per 100k
Venezuela,"28,517,000.00",18.5,"5,895,000.00",2,N/A,N/A,32.75,9338,2.5,1.99 per 100k
Vietnam,"101,343,800.00",1.6,"1,562,000.00",2,N/A,N/A,0.12,128,0.15,0.24 per 100k
Yemen,"32,684,503.00",52.8,"14,859,000.00",2,N/A,N/A,0.83,243,0.29,0.44 per 100k
Zambia,"19,693,423.00",0.9,"158,000.00",2,"86,642.00","71,358.00",3.71,537,0.5,0.62 per 100k
Zimbabwe,"17,073,087.00",2.8,"455,000.00",2,"190,685.00","264,315.00",0.88,119,0.6,0.3 per 100k